Column name,Is useful,is NPS question,open text fields
"NZ_JOIN_GENERAL_ACCESSING_ACCOUNT_AND_BILLING_SCALE,",,,
"NZ_JOIN_GENERAL_ACTIVATING_AND_GETTING_CONNECTED_SCALE,",,,
"NZ_JOIN_GENERAL_CHOOSING_A_PLAN_SCALE,",,,
"NZ_JOIN_GENERAL_CHOOSING_YOUR_PHONE_TABLET_SCALE,",,,
"NZ_JOIN_GENERAL_LIKELY_TO_RECOMMEND_SCALE,",1,Join NPS,
"NZ_JOIN_GENERAL_SATISFACTION_REASON_CMT,",1,,why did you give that rating?
"NZ_JOIN_GENERAL_SIGNING_UP_FOR_YOUR_PLAN_SCALE,",,,
"NZ_JOIN_GENERAL_THE_OVERALL_EXPERIENCE_SCALE,",1,,
"NZ_JOIN_IMPORTANT_IMPROVEMENT_CMT,",1,,improvement
"NZ_JOIN_SETUP_DOWNLOADING_AND_SET_UP_IN_THE_APP_SCALE,",,,
"NZ_JOIN_SETUP_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_JOIN_SETUP_THE_EASE_OF_MAKING_YOUR_FIRST_PAYMENT_SCALE,",,,
"NZ_JOIN_SETUP_THE_EASE_OF_UNDERSTANDING_FIRST_BILL_SCALE,",,,
"NZ_JOIN_SETUP_VIEWING_USAGE_INFORMATION_SCALE,",,,
"NZ_JOIN_STARTED_BROADBAND_WORKING_TIMEFRAME_ALT,",,,
"NZ_JOIN_STARTED_EASE_OF_GETTING_SET_UP_AND_ONLINE_SCALE,",,,
"NZ_JOIN_STARTED_EASE_OF_TRANSFERRING_YOUR_PHONE_NO_SCALE,",,,
"NZ_JOIN_STARTED_GETTING_HELP_OR_SUPPORT_SCALE,",,,
"NZ_JOIN_STARTED_OUR_UPDATES_ON_GETTING_YOU_CONNECTED_SCALE,",,,
"NZ_JOIN_STARTED_THE_QUALITY_OF_YOUR_INSTALLATION_SCALE,",,,
"NZ_JOIN_STARTED_UPDATES_FROM_THE_TECHNICIAN_SCALE,",,,
"NZ_JOIN_STARTED_UPDATES_ON_YOUR_DELIVERY_SCALE,",,,
"NZ_RELATIONSHIP_BROADBAND_RETENTION_ALT,",,,
"NZ_RELATIONSHIP_CX_I_CONNECT_WITH_ONE_NZ_VALUES_SCALE,",,,
"NZ_RELATIONSHIP_CX_I_FEEL_IN_CONTROL_SCALE,",,,
"NZ_RELATIONSHIP_CX_IT_CLEAR_WHAT_TO_EXPECT_SCALE,",,,
"NZ_RELATIONSHIP_CX_LET_ME_ENJOY_LIFE_MORE_SCALE,",,,
"NZ_RELATIONSHIP_CX_ONE_NZ_MAKES_ME_FEEL_VALUED_SCALE,",,,
"NZ_RELATIONSHIP_CX_ONE_NZ_TREATS_ME_FAIRLY_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_APPROACH_TO_SUSTAINABILITY_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_GETTING_ACCOUNT_OR_SUPPORT_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_ONE_NZ_MOBILE_NETWORK_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_ONE_NZ_PRODUCT_AND_PLAN_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_RECEIVING_AND_PAYING_BILL_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_THE_ONE_NZ_APP_WEBSITE_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_THE_ONE_NZ_REWARDS_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_THE_VALUE_FOR_MONEY_SCALE,",,,
"NZ_RELATIONSHIP_GENERAL_YOUR_ONE_NZ_BROADBAND_SCALE,",,,
"NZ_RELATIONSHIP_IMPORTANT_IMPROVEMENT_CMT,",1,,improvement
"NZ_RELATIONSHIP_MOBILE_RETENTION_ALT,",,,
"NZ_RELATIONSHIP_NPS_REASON_CMT,",1,,why did you give that rating?
"NZ_RELATIONSHIP_NPS_SCALE,",1,relationship NPS,
"NZ_RELATIONSHIP_OVERALL_SATISFACTION_SCALE,",1,,
"NZ_USE_CSAT_ONE_NZ_MOBILE_NETWORK_SCALE,",,,
"NZ_USE_CSAT_REASON_CMT,",1,,why did you give that rating?
"NZ_USE_CSAT_THE_BILLING_AND_PAYMENT_PROCESS_SCALE,",,,
"NZ_USE_CSAT_THE_COMMUNICATION_YOU_RECEIVE_SCALE,",,,
"NZ_USE_CSAT_THE_MY_ONE_NZ_APP_SCALE,",,,
"NZ_USE_CSAT_YOUR_HOME_BROADBAND_CONNECTION_SCALE,",,,
"NZ_USE_CSAT_YOUR_PLAN_OVERALL_SCALE,",,,
"NZ_USE_HELP_STAFF_HELPFULNESS_SCALE,",,,
"NZ_USE_HELP_STAFF_KNOWLEDGE_SCALE,",,,
"NZ_USE_HELP_THE_EASE_OF_FINDING_THE_INFORMATION_SCALE,",,,
"NZ_USE_HELP_THE_SOLUTION_OR_OUTCOME_TO_YOUR_ISSUE_SCALE,",,,
"NZ_USE_HELP_THE_TIME_TAKEN_TO_FIX_YOUR_ISSUE_SCALE,",,,
"NZ_USE_IMPORTANT_IMPROVEMENT_CMT,",1,,improvement (use and/or help) 
"NZ_USE_LAST_RECEIVED_HELP_ALT,",,,
"NZ_USE_MANAGE_ACCESSING_USAGE_INFORMATION_SCALE,",,,
"NZ_USE_MANAGE_NOTIFICATIONS_ON_OUTAGES_SCALE,",,,
"NZ_USE_MANAGE_NOTIFICATIONS_ON_UNEXPECTED_CHARGES_SCALE,",,,
"NZ_USE_NPS_HELP_RECEIVED_SCALE,",1,help NPS,
"NZ_USE_NPS_SCALE,",1,use NPS,
"NZ_USE_OPERATE_THE_COVERAGE_OF_MOBILE_NETWORK_SCALE,",,,
"NZ_USE_OPERATE_THE_DATA_SPEED_ON_ONE_NZ_NETWORK_SCALE,",,,
"NZ_USE_OPERATE_THE_QUALITY_OF_CALLS_MADE_ON_ONE_NZ_SCALE,",,,
"NZ_USE_OPERATE_THE_QUALITY_OF_YOUR_WI_FI_SIGNAL_SCALE,",,,
"NZ_USE_OPERATE_THE_RELIABILITY_OF_ONE_NZ_BROADBAND_SCALE,",,,
"NZ_USE_OPERATE_THE_SPEED_OF_ONE_NZ_BROADBAND_SCALE,",,,
"NZ_USE_PAY_THE_ACCURACY_OF_YOUR_BILL_SCALE,",,,
"NZ_USE_PAY_THE_EASE_OF_UNDERSTANDING_YOUR_BILL_SCALE,",,,
"NZ_USE_PAY_THE_PAYMENT_OPTIONS_SCALE,",,,
"NZ_USE_QUERY_HELP_CHANNEL_ALT,",,,
"NZ_USE_QUERY_RESOLVED_ALT,",,,
"NZ_USE_QUERY_SATISFACTION_SCALE,",1,,
"NZ_USE_QUERY_TOPIC_ALT,",,,
NZ_USE_QUERY_TOPIC_OTHER_TXT,,,
